p_fileName;p_singular;p_plural;p_tabla
Usuarios.cs;Usuario;Usuarios;usuario
Roles.cs;Rol;Roles;rol
Funcionalidades.cs;Funcionalidad;Funcionalidades;funcionalidad
Afiliados.cs;Afiliado;Afiliados;afiliado
EstadosCiviles.cs;EstadoCivil;EstadosCiviles;estadoCivil
GruposFamiliares.cs;GrupoFamiliar;GruposFamiliares;afiliado
Profesionales.cs;Profesional;Profesionales;profesional
Agendas.cs;Agenda;Agendas;agenda
Especialidades.cs;Especialidad;Especialidades;especialidad
TiposEspecialidades.cs;TipoEspecialidad;TiposEspecialidades;tipoEspecialidad
